Station,District,Latitude,Longitude,timestamp,rainfall_mm
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-06-11 03:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-06-12 07:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-06-14 04:00:00,3.0
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-06-15 18:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-06-16 09:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-06-16 11:00:00,1.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-06-16 19:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-06-20 11:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-06-21 11:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-06-23 03:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-06-23 09:00:00,1.0
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-06-23 10:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-06-23 11:00:00,2.0
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-06-24 06:00:00,3.0
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-06-24 12:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-06-24 14:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-06-25 03:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-06-25 06:00:00,2.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-06-25 07:00:00,2.0
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-06-25 23:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-06-27 05:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-06-29 09:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-06-30 13:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-07-03 20:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-07-04 01:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-07-04 02:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-07-04 03:00:00,1.0
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-07-04 12:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-07-05 03:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-07-05 06:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-07-05 07:00:00,1.0
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-07-05 14:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-07-06 04:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-07-06 05:00:00,8.0
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-07-06 06:00:00,5.0
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-07-06 07:00:00,2.0
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-07-06 08:00:00,3.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-07-06 09:00:00,1.0
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-07-06 10:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-07-09 03:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-07-10 08:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-07-13 23:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-07-15 14:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-07-16 20:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-07-22 01:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-07-23 03:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-07-27 05:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-07-28 01:00:00,1.0
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-07-29 03:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-07-29 23:00:00,1.0
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-07-30 00:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-07-30 04:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-07-31 08:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-07-31 23:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-08-01 01:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-08-01 22:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-08-01 23:00:00,1.0
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-08-02 00:00:00,4.0
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-08-02 01:00:00,2.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-08-02 09:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-08-02 15:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-08-02 16:00:00,3.0
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-08-02 21:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-08-03 21:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-08-05 02:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-08-05 10:00:00,2.0
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-08-07 05:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-08-07 06:00:00,2.0
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-08-07 07:00:00,1.0
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-08-07 10:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-08-07 12:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-08-07 19:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-08-08 02:00:00,5.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-08-08 03:00:00,9.0
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-08-08 04:00:00,3.0
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-08-08 05:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-08-08 06:00:00,1.0
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-08-08 10:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-08-08 11:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-08-11 11:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-08-12 19:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-08-13 11:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-08-13 13:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-08-20 07:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-08-21 07:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-08-21 17:00:00,8.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-08-21 18:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-08-21 22:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-08-22 08:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-08-23 00:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-08-23 01:00:00,4.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-08-23 02:00:00,3.0
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-08-23 03:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-08-23 20:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-08-25 08:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-08-28 00:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-08-28 16:00:00,1.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-08-28 17:00:00,3.0
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-09-02 09:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-09-02 15:00:00,4.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-09-02 17:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-09-03 12:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-09-05 03:00:00,6.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-09-05 04:00:00,18.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-09-05 05:00:00,11.0
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-09-05 06:00:00,5.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-09-05 07:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-09-08 04:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-09-08 09:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-09-10 15:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-09-11 08:00:00,1.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-09-11 09:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-09-11 11:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-09-12 15:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-09-13 20:00:00,9.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-09-13 22:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-09-13 23:00:00,0.5
AT Road Crossing Jorhat towni,JORHAT,26.76311,94.22003,2025-09-14 03:00:00,0.5
